ntn,name,business,capital
9809485-9,Premier Builders,Trading,50000000.0
1749644-0,Pak Builders,IT Services,50000000.0
7830950-8,Allied Associates,Food & Beverage,500000000.0
1909330-0,Pak Traders,Logistics,50000000.0
8935538-3,Star Holdings,Real Estate,50000000.0
9877475-3,Global Builders,Logistics,50000000.0
9625332-4,Global Holdings,Real Estate,50000000.0
1161243-5,Royal International,Construction,50000000.0
8265760-0,Pak Enterprises,Logistics,500000000.0
4850770-0,Apex International,Logistics,50000000.0
4027468-7,Pak Industries,Trading,500000000.0
8489921-0,Summit Builders,Construction,50000000.0
3735768-7,Pak International,Pharmaceuticals,50000000.0
6629771-6,Star Traders,Construction,500000000.0
3884121-7,Star Industries,Food & Beverage,50000000.0
7073688-9,Apex Holdings,Pharmaceuticals,500000000.0
1765713-6,Star Enterprises,Food & Beverage,500000000.0
5624813-9,Metro Associates,Real Estate,50000000.0
1528949-0,Crescent Associates,Pharmaceuticals,50000000.0
5795286-6,Summit Enterprises,Trading,50000000.0
4800809-1,Summit International,IT Services,50000000.0
5911578-2,Apex Traders,Textile,50000000.0
4982625-3,Allied (Pvt) Ltd,IT Services,50000000.0
1313656-3,Star Builders,Textile,50000000.0
7781870-5,Metro Builders,IT Services,500000000.0
9586700-8,United Holdings,IT Services,50000000.0
6593761-3,United International,Real Estate,50000000.0
9113893-9,Apex Industries,Import/Export,500000000.0
7730971-5,Royal Holdings,IT Services,50000000.0
9675903-0,Premier Enterprises,Construction,50000000.0
3909958-2,Star (Pvt) Ltd,Textile,500000000.0
4386265-1,Metro Builders,IT Services,500000000.0
4634199-1,Premier Enterprises,Trading,50000000.0
6849945-1,Premier International,Logistics,50000000.0
5802155-7,Allied Holdings,Construction,50000000.0
6765199-6,Allied Enterprises,IT Services,50000000.0
8006770-7,Crescent (Pvt) Ltd,Logistics,50000000.0
6322180-3,Pak Traders,Textile,500000000.0
2619456-9,United Enterprises,Logistics,50000000.0
5160187-0,Premier Industries,IT Services,50000000.0
7816324-9,Pak Associates,Logistics,50000000.0
6311053-3,Allied Enterprises,Trading,50000000.0
3284639-0,Premier International,Real Estate,50000000.0
2494039-3,Global Traders,Textile,50000000.0
6106508-5,Crescent International,Trading,50000000.0
3289613-9,Star Associates,Textile,500000000.0
9716907-5,Star Associates,IT Services,500000000.0
7368433-4,Metro International,Real Estate,500000000.0
2885986-7,Allied Builders,Trading,50000000.0
1999405-1,Capital International,Construction,500000000.0
9850538-1,Global Enterprises,IT Services,50000000.0
9675093-2,Star Industries,Construction,50000000.0
9511608-1,Global Holdings,Logistics,500000000.0
4110883-8,Metro Industries,Trading,50000000.0
6944301-1,Capital Industries,IT Services,500000000.0
9219481-3,Apex Builders,Pharmaceuticals,50000000.0
7855138-8,Global Holdings,Food & Beverage,500000000.0
2844839-2,Metro Builders,IT Services,500000000.0
9907367-8,Pak (Pvt) Ltd,Textile,50000000.0
9495926-5,Royal (Pvt) Ltd,Import/Export,50000000.0
5794451-9,Global Builders,Construction,50000000.0
2696654-0,Summit (Pvt) Ltd,Textile,50000000.0
2975358-1,Metro Associates,Trading,500000000.0
4476008-6,Capital Associates,Trading,50000000.0
1227997-6,Premier International,Trading,500000000.0
6311139-2,Premier (Pvt) Ltd,Textile,50000000.0
7968144-3,Allied (Pvt) Ltd,Construction,500000000.0
8207644-2,Pak Builders,Trading,50000000.0
1217439-6,Summit Enterprises,Food & Beverage,500000000.0
4837932-0,Pak Industries,Food & Beverage,50000000.0
1922433-9,Allied Builders,Logistics,50000000.0
9163429-3,Pak Associates,Textile,50000000.0
1620898-6,Star Industries,IT Services,50000000.0
6822257-4,Premier Traders,Real Estate,50000000.0
7785857-5,Global Associates,Import/Export,50000000.0
6353874-9,Crescent Holdings,IT Services,500000000.0
5079399-6,Crescent Associates,Construction,50000000.0
4954705-5,Royal Builders,Real Estate,50000000.0
3086815-0,United Traders,Construction,50000000.0
5121912-5,Summit Associates,Real Estate,50000000.0
2866556-9,Apex Industries,Food & Beverage,500000000.0
4967392-3,Global Associates,Food & Beverage,50000000.0
9683873-8,Global Holdings,Textile,50000000.0
7191240-4,Star Traders,IT Services,50000000.0
6284010-2,Royal Industries,Textile,50000000.0
7859653-3,Capital Associates,Logistics,50000000.0
2496658-8,Summit Enterprises,Trading,500000000.0
4413591-4,Star Traders,Pharmaceuticals,50000000.0
2143029-1,Global International,IT Services,500000000.0
1651791-3,Star Holdings,IT Services,500000000.0
8976853-8,United International,Pharmaceuticals,50000000.0
8806267-8,Allied Industries,Pharmaceuticals,50000000.0
6776818-7,Summit Holdings,Import/Export,50000000.0
4155057-0,Apex Industries,Import/Export,50000000.0
2097417-0,Global Builders,Logistics,50000000.0
9187279-7,Summit Industries,Import/Export,50000000.0
3367381-2,Apex Traders,IT Services,500000000.0
8498283-1,Pak Holdings,IT Services,500000000.0
3144780-8,Royal Industries,Import/Export,50000000.0
1235833-6,Crescent (Pvt) Ltd,IT Services,500000000.0
9483298-6,Pak (Pvt) Ltd,Food & Beverage,500000000.0
1575862-7,Allied (Pvt) Ltd,Trading,50000000.0
4052149-5,Apex Industries,Logistics,50000000.0
1500134-3,Royal Traders,Food & Beverage,50000000.0
7460750-9,Capital Traders,Pharmaceuticals,500000000.0
2257458-1,Summit Enterprises,Logistics,50000000.0
8118092-0,Allied International,Construction,500000000.0
8910159-9,Star International,IT Services,50000000.0
4323909-4,Apex International,Pharmaceuticals,500000000.0
7962247-7,Apex Builders,IT Services,500000000.0
5167501-6,Apex Industries,IT Services,50000000.0
5906928-9,Metro Builders,Trading,500000000.0
7994634-9,Pak International,IT Services,500000000.0
7157861-9,Summit (Pvt) Ltd,Import/Export,50000000.0
1840261-1,Pak (Pvt) Ltd,Logistics,500000000.0
2045442-8,Summit Enterprises,Real Estate,50000000.0
6525476-2,Apex (Pvt) Ltd,Construction,50000000.0
2645795-6,Allied Builders,Logistics,50000000.0
9266237-5,Pak Industries,Logistics,500000000.0
9815691-8,Pak (Pvt) Ltd,Pharmaceuticals,50000000.0
1946452-7,Premier Builders,Logistics,50000000.0
3455548-9,Metro Holdings,Food & Beverage,50000000.0
4085213-7,Apex Industries,Import/Export,50000000.0
1921069-0,Apex Associates,Real Estate,50000000.0
9691513-1,Royal Industries,Real Estate,50000000.0
3048510-1,Pak International,Pharmaceuticals,50000000.0
4503976-1,Metro Industries,Import/Export,50000000.0
3244235-5,Summit Industries,Construction,50000000.0
6489325-3,Apex Holdings,IT Services,500000000.0
7791148-9,Metro Associates,Real Estate,500000000.0
5878052-9,Allied Enterprises,Logistics,500000000.0
8821494-9,Pak Industries,Construction,50000000.0
9668660-9,Apex Traders,Textile,50000000.0
3976807-9,Metro Enterprises,Construction,500000000.0
5206258-0,Star International,Logistics,50000000.0
1205873-7,Crescent Associates,Food & Beverage,50000000.0
8003709-2,Capital International,Construction,50000000.0
2267637-2,Capital International,Food & Beverage,50000000.0
4806710-7,Capital Traders,Pharmaceuticals,50000000.0
9667236-3,Star Associates,Real Estate,50000000.0
4831703-2,United Builders,Food & Beverage,50000000.0
1322328-7,Metro Industries,Real Estate,50000000.0
2665375-5,United Traders,Textile,50000000.0
8757466-5,Pak (Pvt) Ltd,Real Estate,500000000.0
7246014-2,Crescent Enterprises,Real Estate,500000000.0
3244809-1,Global Traders,Pharmaceuticals,500000000.0
5196396-6,Apex Builders,Real Estate,50000000.0
4956896-0,Summit Traders,IT Services,50000000.0
6630438-9,Allied International,IT Services,50000000.0
4516354-3,Metro International,Textile,50000000.0
3321664-9,Allied (Pvt) Ltd,Real Estate,50000000.0
5758153-0,Allied Associates,Textile,500000000.0
9185662-8,Summit Holdings,Construction,50000000.0
7869972-3,Crescent Holdings,Construction,50000000.0
3040388-7,Apex Associates,Pharmaceuticals,50000000.0
5113112-5,Global Traders,IT Services,50000000.0
8152674-5,Crescent Industries,Food & Beverage,50000000.0
1284814-5,Global Builders,Pharmaceuticals,50000000.0
6427731-0,Capital Traders,Trading,50000000.0
9908835-9,Premier Builders,Textile,50000000.0
9241324-3,Global Holdings,Construction,50000000.0
2613171-1,Summit Associates,Logistics,50000000.0
8466771-0,Crescent Builders,Pharmaceuticals,50000000.0
7195739-5,Apex Industries,Construction,500000000.0
7353947-3,United Holdings,Construction,500000000.0
5314709-6,Apex Associates,Construction,50000000.0
3992305-3,Royal Holdings,Logistics,50000000.0
5854894-2,Metro Associates,Real Estate,50000000.0
4957605-2,Crescent Enterprises,Food & Beverage,50000000.0
4396894-3,Star Traders,Pharmaceuticals,50000000.0
1878609-0,Star (Pvt) Ltd,IT Services,50000000.0
6485685-6,Apex Builders,Import/Export,500000000.0
4557852-4,Global Holdings,Import/Export,50000000.0
9058926-9,Crescent International,Pharmaceuticals,50000000.0
7700521-4,Allied Associates,Real Estate,500000000.0
3902313-5,Pak Builders,Textile,50000000.0
1053408-6,United Industries,Textile,500000000.0
8624273-3,Crescent Traders,Textile,50000000.0
1615477-3,Global Associates,Trading,500000000.0
3323035-2,United Enterprises,Logistics,50000000.0
2515029-1,Metro Associates,Real Estate,50000000.0
8256747-5,Summit Associates,Real Estate,50000000.0
1697510-0,Metro (Pvt) Ltd,Food & Beverage,50000000.0
4983313-2,Star (Pvt) Ltd,Real Estate,500000000.0
3244352-2,Summit Builders,Trading,500000000.0
2319985-2,Pak Holdings,Textile,50000000.0
1044461-3,Crescent Associates,Construction,50000000.0
1805849-8,Premier International,Import/Export,50000000.0
7501214-9,Summit Traders,IT Services,500000000.0
8054974-4,Star International,Textile,50000000.0
8996856-2,Allied International,Pharmaceuticals,500000000.0
3528250-4,Star Enterprises,Food & Beverage,500000000.0
4606141-8,Premier Associates,Food & Beverage,50000000.0
8849412-1,Apex Associates,Import/Export,50000000.0
9782804-6,Global Industries,Construction,50000000.0
1677909-1,Royal Enterprises,IT Services,50000000.0
6097807-3,Crescent Holdings,Logistics,500000000.0
1997140-4,Premier (Pvt) Ltd,Real Estate,50000000.0
7741581-0,Apex Traders,Logistics,50000000.0
8027102-9,Royal (Pvt) Ltd,IT Services,500000000.0
